    id    power(W) source(n/s)
   164 3.70111E+00 1.90702E+09
   168 3.70111E+00 1.90702E+09
   169 3.70111E+00 1.90702E+09
   140 3.29075E+00 1.69581E+09
   141 3.29075E+00 1.69581E+09
   145 3.29075E+00 1.69581E+09
   146 3.29075E+00 1.69581E+09
   165 3.70111E+00 1.90702E+09
   166 3.70111E+00 1.90702E+09
   170 3.70111E+00 1.90702E+09
   171 3.70111E+00 1.90702E+09
   141 3.29075E+00 1.69581E+09
   142 3.29075E+00 1.69581E+09
   146 3.29075E+00 1.69581E+09
   147 3.29075E+00 1.69581E+09
   166 3.70111E+00 1.90702E+09
   167 3.70111E+00 1.90702E+09
   171 3.70111E+00 1.90702E+09
   172 3.70111E+00 1.90702E+09
   142 3.29075E+00 1.69581E+09
   143 3.29075E+00 1.69581E+09
   147 3.29075E+00 1.69581E+09
   148 3.29075E+00 1.69581E+09
   167 3.70111E+00 1.90702E+09
   168 3.70111E+00 1.90702E+09
   172 3.70111E+00 1.90702E+09
   173 3.70111E+00 1.90702E+09
   143 3.29075E+00 1.69581E+09
   144 3.29075E+00 1.69581E+09
   148 3.29075E+00 1.69581E+09
   149 3.29075E+00 1.69581E+09
   168 3.70111E+00 1.90702E+09
   169 3.70111E+00 1.90702E+09
   173 3.70111E+00 1.90702E+09
   174 3.70111E+00 1.90702E+09
   150 3.70111E+00 1.90702E+09
   151 3.70111E+00 1.90702E+09
   155 3.70111E+00 1.90702E+09
   156 3.70111E+00 1.90702E+09
   175 4.08201E+00 2.10310E+09
   176 4.08201E+00 2.10310E+09
   180 4.08201E+00 2.10310E+09
   181 4.08201E+00 2.10310E+09
   151 3.70111E+00 1.90702E+09
   152 3.70111E+00 1.90702E+09
   156 3.70111E+00 1.90702E+09
   157 3.70111E+00 1.90702E+09
   176 4.08201E+00 2.10310E+09
   177 4.08201E+00 2.10310E+09
   181 4.08201E+00 2.10310E+09
   182 4.08201E+00 2.10310E+09
   152 3.70111E+00 1.90702E+09
   153 3.70111E+00 1.90702E+09
   157 3.70111E+00 1.90702E+09
   158 3.70111E+00 1.90702E+09
   177 4.08201E+00 2.10310E+09
   178 4.08201E+00 2.10310E+09
   182 4.08201E+00 2.10310E+09
   183 4.08201E+00 2.10310E+09
   153 3.70111E+00 1.90702E+09
   154 3.70111E+00 1.90702E+09
   158 3.70111E+00 1.90702E+09
   159 3.70111E+00 1.90702E+09
   178 4.08201E+00 2.10310E+09
   179 4.08201E+00 2.10310E+09
   183 4.08201E+00 2.10310E+09
   184 4.08201E+00 2.10310E+09
   155 3.70111E+00 1.90702E+09
   156 3.70111E+00 1.90702E+09
   160 3.70111E+00 1.90702E+09
   161 3.70111E+00 1.90702E+09
   180 4.08201E+00 2.10310E+09
   181 4.08201E+00 2.10310E+09
   185 4.08201E+00 2.10310E+09
   186 4.08201E+00 2.10310E+09
   156 3.70111E+00 1.90702E+09
   157 3.70111E+00 1.90702E+09
   161 3.70111E+00 1.90702E+09
   162 3.70111E+00 1.90702E+09
   181 4.08201E+00 2.10310E+09
   182 4.08201E+00 2.10310E+09
   186 4.08201E+00 2.10310E+09
   187 4.08201E+00 2.10310E+09
   157 3.70111E+00 1.90702E+09
   158 3.70111E+00 1.90702E+09
   162 3.70111E+00 1.90702E+09
   163 3.70111E+00 1.90702E+09
   182 4.08201E+00 2.10310E+09
   183 4.08201E+00 2.10310E+09
   187 4.08201E+00 2.10310E+09
   188 4.08201E+00 2.10310E+09
   158 3.70111E+00 1.90702E+09
   159 3.70111E+00 1.90702E+09
   163 3.70111E+00 1.90702E+09
   164 3.70111E+00 1.90702E+09
   183 4.08201E+00 2.10310E+09
   184 4.08201E+00 2.10310E+09
   188 4.08201E+00 2.10310E+09
   189 4.08201E+00 2.10310E+09
   160 3.70111E+00 1.90702E+09
   161 3.70111E+00 1.90702E+09
   165 3.70111E+00 1.90702E+09
   166 3.70111E+00 1.90702E+09
   185 4.08201E+00 2.10310E+09
   186 4.08201E+00 2.10310E+09
   190 4.08201E+00 2.10310E+09
   191 4.08201E+00 2.10310E+09
   161 3.70111E+00 1.90702E+09
   162 3.70111E+00 1.90702E+09
   166 3.70111E+00 1.90702E+09
   167 3.70111E+00 1.90702E+09
   186 4.08201E+00 2.10310E+09
   187 4.08201E+00 2.10310E+09
   191 4.08201E+00 2.10310E+09
   192 4.08201E+00 2.10310E+09
   162 3.70111E+00 1.90702E+09
   163 3.70111E+00 1.90702E+09
   167 3.70111E+00 1.90702E+09
   168 3.70111E+00 1.90702E+09
   187 4.08201E+00 2.10310E+09
   188 4.08201E+00 2.10310E+09
   192 4.08201E+00 2.10310E+09
   193 4.08201E+00 2.10310E+09
   163 3.70111E+00 1.90702E+09
   164 3.70111E+00 1.90702E+09
   168 3.70111E+00 1.90702E+09
   169 3.70111E+00 1.90702E+09
   188 4.08201E+00 2.10310E+09
   189 4.08201E+00 2.10310E+09
   193 4.08201E+00 2.10310E+09
   194 4.08201E+00 2.10310E+09
   165 3.70111E+00 1.90702E+09
   166 3.70111E+00 1.90702E+09
   170 3.70111E+00 1.90702E+09
   171 3.70111E+00 1.90702E+09
   190 4.08201E+00 2.10310E+09
   191 4.08201E+00 2.10310E+09
   195 4.08201E+00 2.10310E+09
   196 4.08201E+00 2.10310E+09
   166 3.70111E+00 1.90702E+09
   167 3.70111E+00 1.90702E+09
   171 3.70111E+00 1.90702E+09
   172 3.70111E+00 1.90702E+09
   191 4.08201E+00 2.10310E+09
   192 4.08201E+00 2.10310E+09
   196 4.08201E+00 2.10310E+09
   197 4.08201E+00 2.10310E+09
   167 3.70111E+00 1.90702E+09
   168 3.70111E+00 1.90702E+09
   172 3.70111E+00 1.90702E+09
   173 3.70111E+00 1.90702E+09
   192 4.08201E+00 2.10310E+09
   193 4.08201E+00 2.10310E+09
   197 4.08201E+00 2.10310E+09
   198 4.08201E+00 2.10310E+09
   168 3.70111E+00 1.90702E+09
   169 3.70111E+00 1.90702E+09
   173 3.70111E+00 1.90702E+09
   174 3.70111E+00 1.90702E+09
   193 4.08201E+00 2.10310E+09
   194 4.08201E+00 2.10310E+09
   198 4.08201E+00 2.10310E+09
   199 4.08201E+00 2.10310E+09
   175 4.08201E+00 2.10310E+09
   176 4.08201E+00 2.10310E+09
   180 4.08201E+00 2.10310E+09
   181 4.08201E+00 2.10310E+09
   200 4.43078E+00 2.28264E+09
   201 4.43078E+00 2.28264E+09
   205 4.43078E+00 2.28264E+09
   206 4.43078E+00 2.28264E+09
   176 4.08201E+00 2.10310E+09
   177 4.08201E+00 2.10310E+09
   181 4.08201E+00 2.10310E+09
   182 4.08201E+00 2.10310E+09
   201 4.43078E+00 2.28264E+09
   202 4.43078E+00 2.28264E+09
   206 4.43078E+00 2.28264E+09
   207 4.43078E+00 2.28264E+09
   177 4.08201E+00 2.10310E+09
   178 4.08201E+00 2.10310E+09
   182 4.08201E+00 2.10310E+09
   183 4.08201E+00 2.10310E+09
   202 4.43078E+00 2.28264E+09
   203 4.43078E+00 2.28264E+09
   207 4.43078E+00 2.28264E+09
   208 4.43078E+00 2.28264E+09
   178 4.08201E+00 2.10310E+09
   179 4.08201E+00 2.10310E+09
   183 4.08201E+00 2.10310E+09
   184 4.08201E+00 2.10310E+09
   203 4.43078E+00 2.28264E+09
   204 4.43078E+00 2.28264E+09
   208 4.43078E+00 2.28264E+09
   209 4.43078E+00 2.28264E+09
   180 4.08201E+00 2.10310E+09
   181 4.08201E+00 2.10310E+09
   185 4.08201E+00 2.10310E+09
   186 4.08201E+00 2.10310E+09
   205 4.43078E+00 2.28264E+09
   206 4.43078E+00 2.28264E+09
   210 4.43078E+00 2.28264E+09
   211 4.43078E+00 2.28264E+09
   181 4.08201E+00 2.10310E+09
   182 4.08201E+00 2.10310E+09
   186 4.08201E+00 2.10310E+09
   187 4.08201E+00 2.10310E+09
   206 4.43078E+00 2.28264E+09
   207 4.43078E+00 2.28264E+09
   211 4.43078E+00 2.28264E+09
   212 4.43078E+00 2.28264E+09
   182 4.08201E+00 2.10310E+09
   183 4.08201E+00 2.10310E+09
   187 4.08201E+00 2.10310E+09
   188 4.08201E+00 2.10310E+09
   207 4.43078E+00 2.28264E+09
   208 4.43078E+00 2.28264E+09
   212 4.43078E+00 2.28264E+09
   213 4.43078E+00 2.28264E+09
   183 4.08201E+00 2.10310E+09
   184 4.08201E+00 2.10310E+09
   188 4.08201E+00 2.10310E+09
   189 4.08201E+00 2.10310E+09
   208 4.43078E+00 2.28264E+09
   209 4.43078E+00 2.28264E+09
   213 4.43078E+00 2.28264E+09
   214 4.43078E+00 2.28264E+09
   185 4.08201E+00 2.10310E+09
   186 4.08201E+00 2.10310E+09
   190 4.08201E+00 2.10310E+09
   191 4.08201E+00 2.10310E+09
   210 4.43078E+00 2.28264E+09
   211 4.43078E+00 2.28264E+09
   215 4.43078E+00 2.28264E+09
   216 4.43078E+00 2.28264E+09
   186 4.08201E+00 2.10310E+09
   187 4.08201E+00 2.10310E+09
   191 4.08201E+00 2.10310E+09
   192 4.08201E+00 2.10310E+09
   211 4.43078E+00 2.28264E+09
   212 4.43078E+00 2.28264E+09
   216 4.43078E+00 2.28264E+09
   217 4.43078E+00 2.28264E+09
   187 4.08201E+00 2.10310E+09
   188 4.08201E+00 2.10310E+09
   192 4.08201E+00 2.10310E+09
   193 4.08201E+00 2.10310E+09
   212 4.43078E+00 2.28264E+09
   213 4.43078E+00 2.28264E+09
   217 4.43078E+00 2.28264E+09
   218 4.43078E+00 2.28264E+09
   188 4.08201E+00 2.10310E+09
   189 4.08201E+00 2.10310E+09
   193 4.08201E+00 2.10310E+09
   194 4.08201E+00 2.10310E+09
   213 4.43078E+00 2.28264E+09
   214 4.43078E+00 2.28264E+09
   218 4.43078E+00 2.28264E+09
   219 4.43078E+00 2.28264E+09
   190 4.08201E+00 2.10310E+09
   191 4.08201E+00 2.10310E+09
   195 4.08201E+00 2.10310E+09
   196 4.08201E+00 2.10310E+09
   215 4.43078E+00 2.28264E+09
   216 4.43078E+00 2.28264E+09
   220 4.43078E+00 2.28264E+09
   221 4.43078E+00 2.28264E+09
   191 4.08201E+00 2.10310E+09
   192 4.08201E+00 2.10310E+09
   196 4.08201E+00 2.10310E+09
   197 4.08201E+00 2.10310E+09
   216 4.43078E+00 2.28264E+09
   217 4.43078E+00 2.28264E+09
   221 4.43078E+00 2.28264E+09
   222 4.43078E+00 2.28264E+09
   192 4.08201E+00 2.10310E+09
   193 4.08201E+00 2.10310E+09
   197 4.08201E+00 2.10310E+09
   198 4.08201E+00 2.10310E+09
   217 4.43078E+00 2.28264E+09
   218 4.43078E+00 2.28264E+09
   222 4.43078E+00 2.28264E+09
   223 4.43078E+00 2.28264E+09
   193 4.08201E+00 2.10310E+09
   194 4.08201E+00 2.10310E+09
   198 4.08201E+00 2.10310E+09
   199 4.08201E+00 2.10310E+09
   218 4.43078E+00 2.28264E+09
   219 4.43078E+00 2.28264E+09
   223 4.43078E+00 2.28264E+09
   224 4.43078E+00 2.28264E+09
   200 4.43078E+00 2.28264E+09
   201 4.43078E+00 2.28264E+09
   205 4.43078E+00 2.28264E+09
   206 4.43078E+00 2.28264E+09
   225 4.74490E+00 2.44436E+09
   226 4.74490E+00 2.44436E+09
   230 4.74490E+00 2.44436E+09
   231 4.74490E+00 2.44436E+09
   201 4.43078E+00 2.28264E+09
   202 4.43078E+00 2.28264E+09
   206 4.43078E+00 2.28264E+09
   207 4.43078E+00 2.28264E+09
   226 4.74490E+00 2.44436E+09
   227 4.74490E+00 2.44436E+09
   231 4.74490E+00 2.44436E+09
   232 4.74490E+00 2.44436E+09
   202 4.43078E+00 2.28264E+09
   203 4.43078E+00 2.28264E+09
   207 4.43078E+00 2.28264E+09
   208 4.43078E+00 2.28264E+09
   227 4.74490E+00 2.44436E+09
   228 4.74490E+00 2.44436E+09
   232 4.74490E+00 2.44436E+09
   233 4.74490E+00 2.44436E+09
   203 4.43078E+00 2.28264E+09
   204 4.43078E+00 2.28264E+09
   208 4.43078E+00 2.28264E+09
   209 4.43078E+00 2.28264E+09
   228 4.74490E+00 2.44436E+09
   229 4.74490E+00 2.44436E+09
   233 4.74490E+00 2.44436E+09
   234 4.74490E+00 2.44436E+09
   205 4.43078E+00 2.28264E+09
   206 4.43078E+00 2.28264E+09
   210 4.43078E+00 2.28264E+09
   211 4.43078E+00 2.28264E+09
   230 4.74490E+00 2.44436E+09
   231 4.74490E+00 2.44436E+09
   235 4.74490E+00 2.44436E+09
   236 4.74490E+00 2.44436E+09
   206 4.43078E+00 2.28264E+09
   207 4.43078E+00 2.28264E+09
   211 4.43078E+00 2.28264E+09
   212 4.43078E+00 2.28264E+09
   231 4.74490E+00 2.44436E+09
   232 4.74490E+00 2.44436E+09
   236 4.74490E+00 2.44436E+09
   237 4.74490E+00 2.44436E+09
   207 4.43078E+00 2.28264E+09
   208 4.43078E+00 2.28264E+09
   212 4.43078E+00 2.28264E+09
   213 4.43078E+00 2.28264E+09
   232 4.74490E+00 2.44436E+09
   233 4.74490E+00 2.44436E+09
   237 4.74490E+00 2.44436E+09
   238 4.74490E+00 2.44436E+09
   208 4.43078E+00 2.28264E+09
   209 4.43078E+00 2.28264E+09
   213 4.43078E+00 2.28264E+09
   214 4.43078E+00 2.28264E+09
   233 4.74490E+00 2.44436E+09
   234 4.74490E+00 2.44436E+09
   238 4.74490E+00 2.44436E+09
   239 4.74490E+00 2.44436E+09
   210 4.43078E+00 2.28264E+09
   211 4.43078E+00 2.28264E+09
   215 4.43078E+00 2.28264E+09
   216 4.43078E+00 2.28264E+09
   235 4.74490E+00 2.44436E+09
   236 4.74490E+00 2.44436E+09
   240 4.74490E+00 2.44436E+09
   241 4.74490E+00 2.44436E+09
   211 4.43078E+00 2.28264E+09
   212 4.43078E+00 2.28264E+09
   216 4.43078E+00 2.28264E+09
   217 4.43078E+00 2.28264E+09
   236 4.74490E+00 2.44436E+09
   237 4.74490E+00 2.44436E+09
   241 4.74490E+00 2.44436E+09
   242 4.74490E+00 2.44436E+09
   212 4.43078E+00 2.28264E+09
   213 4.43078E+00 2.28264E+09
   217 4.43078E+00 2.28264E+09
   218 4.43078E+00 2.28264E+09
   237 4.74490E+00 2.44436E+09
   238 4.74490E+00 2.44436E+09
   242 4.74490E+00 2.44436E+09
   243 4.74490E+00 2.44436E+09
   213 4.43078E+00 2.28264E+09
   214 4.43078E+00 2.28264E+09
   218 4.43078E+00 2.28264E+09
   219 4.43078E+00 2.28264E+09
   238 4.74490E+00 2.44436E+09
   239 4.74490E+00 2.44436E+09
   243 4.74490E+00 2.44436E+09
   244 4.74490E+00 2.44436E+09
   215 4.43078E+00 2.28264E+09
   216 4.43078E+00 2.28264E+09
   220 4.43078E+00 2.28264E+09
   221 4.43078E+00 2.28264E+09
   240 4.74490E+00 2.44436E+09
   241 4.74490E+00 2.44436E+09
   245 4.74490E+00 2.44436E+09
   246 4.74490E+00 2.44436E+09
   216 4.43078E+00 2.28264E+09
   217 4.43078E+00 2.28264E+09
   221 4.43078E+00 2.28264E+09
   222 4.43078E+00 2.28264E+09
   241 4.74490E+00 2.44436E+09
   242 4.74490E+00 2.44436E+09
   246 4.74490E+00 2.44436E+09
   247 4.74490E+00 2.44436E+09
   217 4.43078E+00 2.28264E+09
   218 4.43078E+00 2.28264E+09
   222 4.43078E+00 2.28264E+09
   223 4.43078E+00 2.28264E+09
   242 4.74490E+00 2.44436E+09
   243 4.74490E+00 2.44436E+09
   247 4.74490E+00 2.44436E+09
   248 4.74490E+00 2.44436E+09
   218 4.43078E+00 2.28264E+09
   219 4.43078E+00 2.28264E+09
   223 4.43078E+00 2.28264E+09
   224 4.43078E+00 2.28264E+09
   243 4.74490E+00 2.44436E+09
   244 4.74490E+00 2.44436E+09
   248 4.74490E+00 2.44436E+09
   249 4.74490E+00 2.44436E+09
   225 4.74490E+00 2.44436E+09
   226 4.74490E+00 2.44436E+09
   230 4.74490E+00 2.44436E+09
   231 4.74490E+00 2.44436E+09
   250 5.02204E+00 2.58705E+09
   251 5.02204E+00 2.58705E+09
   255 5.02205E+00 2.58705E+09
   256 5.02205E+00 2.58705E+09
   226 4.74490E+00 2.44436E+09
   227 4.74490E+00 2.44436E+09
   231 4.74490E+00 2.44436E+09
   232 4.74490E+00 2.44436E+09
   251 5.02204E+00 2.58705E+09
   252 5.02204E+00 2.58705E+09
   256 5.02205E+00 2.58705E+09
   257 5.02204E+00 2.58705E+09
   227 4.74490E+00 2.44436E+09
   228 4.74490E+00 2.44436E+09
   232 4.74490E+00 2.44436E+09
   233 4.74490E+00 2.44436E+09
   252 5.02204E+00 2.58705E+09
   253 5.02204E+00 2.58705E+09
   257 5.02204E+00 2.58705E+09
   258 5.02205E+00 2.58705E+09
   228 4.74490E+00 2.44436E+09
   229 4.74490E+00 2.44436E+09
   233 4.74490E+00 2.44436E+09
   234 4.74490E+00 2.44436E+09
   253 5.02204E+00 2.58705E+09
   254 5.02204E+00 2.58705E+09
   258 5.02205E+00 2.58705E+09
   259 5.02204E+00 2.58705E+09
   230 4.74490E+00 2.44436E+09
   231 4.74490E+00 2.44436E+09
   235 4.74490E+00 2.44436E+09
   236 4.74490E+00 2.44436E+09
   255 5.02205E+00 2.58705E+09
   256 5.02205E+00 2.58705E+09
   260 5.02204E+00 2.58705E+09
   261 5.02204E+00 2.58705E+09
   231 4.74490E+00 2.44436E+09
   232 4.74490E+00 2.44436E+09
   236 4.74490E+00 2.44436E+09
   237 4.74490E+00 2.44436E+09
   256 5.02205E+00 2.58705E+09
   257 5.02204E+00 2.58705E+09
   261 5.02204E+00 2.58705E+09
   262 5.02204E+00 2.58705E+09
   232 4.74490E+00 2.44436E+09
   233 4.74490E+00 2.44436E+09
   237 4.74490E+00 2.44436E+09
   238 4.74490E+00 2.44436E+09
   257 5.02204E+00 2.58705E+09
   258 5.02205E+00 2.58705E+09
   262 5.02204E+00 2.58705E+09
   263 5.02204E+00 2.58705E+09
   233 4.74490E+00 2.44436E+09
   234 4.74490E+00 2.44436E+09
   238 4.74490E+00 2.44436E+09
   239 4.74490E+00 2.44436E+09
   258 5.02205E+00 2.58705E+09
   259 5.02204E+00 2.58705E+09
   263 5.02204E+00 2.58705E+09
   264 5.02204E+00 2.58705E+09
   235 4.74490E+00 2.44436E+09
   236 4.74490E+00 2.44436E+09
   240 4.74490E+00 2.44436E+09
   241 4.74490E+00 2.44436E+09
   260 5.02204E+00 2.58705E+09
   261 5.02204E+00 2.58705E+09
   265 5.02204E+00 2.58705E+09
   266 5.02204E+00 2.58705E+09
   236 4.74490E+00 2.44436E+09
   237 4.74490E+00 2.44436E+09
   241 4.74490E+00 2.44436E+09
   242 4.74490E+00 2.44436E+09
   261 5.02204E+00 2.58705E+09
   262 5.02204E+00 2.58705E+09
   266 5.02204E+00 2.58705E+09
   267 5.02204E+00 2.58705E+09
   237 4.74490E+00 2.44436E+09
   238 4.74490E+00 2.44436E+09
   242 4.74490E+00 2.44436E+09
   243 4.74490E+00 2.44436E+09
   262 5.02204E+00 2.58705E+09
   263 5.02204E+00 2.58705E+09
   267 5.02204E+00 2.58705E+09
   268 5.02204E+00 2.58705E+09
   238 4.74490E+00 2.44436E+09
   239 4.74490E+00 2.44436E+09
   243 4.74490E+00 2.44436E+09
   244 4.74490E+00 2.44436E+09
   263 5.02204E+00 2.58705E+09
   264 5.02204E+00 2.58705E+09
   268 5.02204E+00 2.58705E+09
   269 5.02204E+00 2.58705E+09
   240 4.74490E+00 2.44436E+09
   241 4.74490E+00 2.44436E+09
   245 4.74490E+00 2.44436E+09
   246 4.74490E+00 2.44436E+09
   265 5.02204E+00 2.58705E+09
   266 5.02204E+00 2.58705E+09
   270 5.02204E+00 2.58705E+09
   271 5.02204E+00 2.58705E+09
   241 4.74490E+00 2.44436E+09
   242 4.74490E+00 2.44436E+09
   246 4.74490E+00 2.44436E+09
   247 4.74490E+00 2.44436E+09
   266 5.02204E+00 2.58705E+09
   267 5.02204E+00 2.58705E+09
   271 5.02204E+00 2.58705E+09
   272 5.02205E+00 2.58705E+09
   242 4.74490E+00 2.44436E+09
   243 4.74490E+00 2.44436E+09
   247 4.74490E+00 2.44436E+09
   248 4.74490E+00 2.44436E+09
   267 5.02204E+00 2.58705E+09
   268 5.02204E+00 2.58705E+09
   272 5.02205E+00 2.58705E+09
   273 5.02204E+00 2.58705E+09
   243 4.74490E+00 2.44436E+09
   244 4.74490E+00 2.44436E+09
   248 4.74490E+00 2.44436E+09
   249 4.74490E+00 2.44436E+09
   268 5.02204E+00 2.58705E+09
   269 5.02204E+00 2.58705E+09
   273 5.02204E+00 2.58705E+09
   274 5.02204E+00 2.58705E+09
   250 5.02204E+00 2.58705E+09
   251 5.02204E+00 2.58705E+09
   255 5.02205E+00 2.58705E+09
   256 5.02205E+00 2.58705E+09
   275 5.26016E+00 2.70965E+09
   276 5.26016E+00 2.70965E+09
   280 5.26016E+00 2.70965E+09
   281 5.26016E+00 2.70965E+09
   251 5.02204E+00 2.58705E+09
   252 5.02204E+00 2.58705E+09
   256 5.02205E+00 2.58705E+09
   257 5.02204E+00 2.58705E+09
   276 5.26016E+00 2.70965E+09
   277 5.26016E+00 2.70965E+09
   281 5.26016E+00 2.70965E+09
   282 5.26016E+00 2.70965E+09
   252 5.02204E+00 2.58705E+09
   253 5.02204E+00 2.58705E+09
   257 5.02204E+00 2.58705E+09
   258 5.02205E+00 2.58705E+09
   277 5.26016E+00 2.70965E+09
   278 5.26016E+00 2.70965E+09
   282 5.26016E+00 2.70965E+09
   283 5.26016E+00 2.70965E+09
   253 5.02204E+00 2.58705E+09
   254 5.02204E+00 2.58705E+09
   258 5.02205E+00 2.58705E+09
   259 5.02204E+00 2.58705E+09
   278 5.26016E+00 2.70965E+09
   279 5.26016E+00 2.70965E+09
   283 5.26016E+00 2.70965E+09
   284 5.26016E+00 2.70965E+09
   255 5.02205E+00 2.58705E+09
   256 5.02205E+00 2.58705E+09
   260 5.02204E+00 2.58705E+09
   261 5.02204E+00 2.58705E+09
   280 5.26016E+00 2.70965E+09
   281 5.26016E+00 2.70965E+09
   285 5.26016E+00 2.70965E+09
   286 5.26016E+00 2.70965E+09
   256 5.02205E+00 2.58705E+09
   257 5.02204E+00 2.58705E+09
   261 5.02204E+00 2.58705E+09
   262 5.02204E+00 2.58705E+09
   281 5.26016E+00 2.70965E+09
   282 5.26016E+00 2.70965E+09
   286 5.26016E+00 2.70965E+09
   287 5.26016E+00 2.70965E+09
   257 5.02204E+00 2.58705E+09
   258 5.02205E+00 2.58705E+09
   262 5.02204E+00 2.58705E+09
   263 5.02204E+00 2.58705E+09
   282 5.26016E+00 2.70965E+09
   283 5.26016E+00 2.70965E+09
   287 5.26016E+00 2.70965E+09
   288 5.26016E+00 2.70965E+09
   258 5.02205E+00 2.58705E+09
   259 5.02204E+00 2.58705E+09
   263 5.02204E+00 2.58705E+09
   264 5.02204E+00 2.58705E+09
   283 5.26016E+00 2.70965E+09
   284 5.26016E+00 2.70965E+09
   288 5.26016E+00 2.70965E+09
   289 5.26016E+00 2.70965E+09
   260 5.02204E+00 2.58705E+09
   261 5.02204E+00 2.58705E+09
   265 5.02204E+00 2.58705E+09
   266 5.02204E+00 2.58705E+09
   285 5.26016E+00 2.70965E+09
   286 5.26016E+00 2.70965E+09
   290 5.26016E+00 2.70965E+09
   291 5.26016E+00 2.70965E+09
   261 5.02204E+00 2.58705E+09
   262 5.02204E+00 2.58705E+09
   266 5.02204E+00 2.58705E+09
   267 5.02204E+00 2.58705E+09
   286 5.26016E+00 2.70965E+09
   287 5.26016E+00 2.70965E+09
   291 5.26016E+00 2.70965E+09
   292 5.26016E+00 2.70965E+09
   262 5.02204E+00 2.58705E+09
   263 5.02204E+00 2.58705E+09
   267 5.02204E+00 2.58705E+09
   268 5.02204E+00 2.58705E+09
   287 5.26016E+00 2.70965E+09
   288 5.26016E+00 2.70965E+09
   292 5.26016E+00 2.70965E+09
   293 5.26016E+00 2.70965E+09
   263 5.02204E+00 2.58705E+09
   264 5.02204E+00 2.58705E+09
   268 5.02204E+00 2.58705E+09
   269 5.02204E+00 2.58705E+09
   288 5.26016E+00 2.70965E+09
   289 5.26016E+00 2.70965E+09
   293 5.26016E+00 2.70965E+09
   294 5.26016E+00 2.70965E+09
   265 5.02204E+00 2.58705E+09
   266 5.02204E+00 2.58705E+09
   270 5.02204E+00 2.58705E+09
   271 5.02204E+00 2.58705E+09
   290 5.26016E+00 2.70965E+09
   291 5.26016E+00 2.70965E+09
   295 5.26016E+00 2.70965E+09
   296 5.26016E+00 2.70965E+09
   266 5.02204E+00 2.58705E+09
   267 5.02204E+00 2.58705E+09
   271 5.02204E+00 2.58705E+09
   272 5.02205E+00 2.58705E+09
   291 5.26016E+00 2.70965E+09
   292 5.26016E+00 2.70965E+09
   296 5.26016E+00 2.70965E+09
   297 5.26016E+00 2.70965E+09
   267 5.02204E+00 2.58705E+09
   268 5.02204E+00 2.58705E+09
   272 5.02205E+00 2.58705E+09
   273 5.02204E+00 2.58705E+09
   292 5.26016E+00 2.70965E+09
   293 5.26016E+00 2.70965E+09
   297 5.26016E+00 2.70965E+09
   298 5.26016E+00 2.70965E+09
   268 5.02204E+00 2.58705E+09
   269 5.02204E+00 2.58705E+09
   273 5.02204E+00 2.58705E+09
   274 5.02204E+00 2.58705E+09
   293 5.26016E+00 2.70965E+09
   294 5.26016E+00 2.70965E+09
   298 5.26016E+00 2.70965E+09
   299 5.26016E+00 2.70965E+09
   275 5.26016E+00 2.70965E+09
   276 5.26016E+00 2.70965E+09
   280 5.26016E+00 2.70965E+09
   281 5.26016E+00 2.70965E+09
   300 5.45747E+00 2.81125E+09
   301 5.45747E+00 2.81125E+09
   305 5.45747E+00 2.81125E+09
   306 5.45747E+00 2.81125E+09
   276 5.26016E+00 2.70965E+09
   277 5.26016E+00 2.70965E+09
   281 5.26016E+00 2.70965E+09
   282 5.26016E+00 2.70965E+09
   301 5.45747E+00 2.81125E+09
   302 5.45747E+00 2.81125E+09
   306 5.45747E+00 2.81125E+09
   307 5.45747E+00 2.81125E+09
   277 5.26016E+00 2.70965E+09
   278 5.26016E+00 2.70965E+09
   282 5.26016E+00 2.70965E+09
   283 5.26016E+00 2.70965E+09
   302 5.45747E+00 2.81125E+09
   303 5.45747E+00 2.81125E+09
   307 5.45747E+00 2.81125E+09
   308 5.45747E+00 2.81125E+09
   278 5.26016E+00 2.70965E+09
   279 5.26016E+00 2.70965E+09
   283 5.26016E+00 2.70965E+09
   284 5.26016E+00 2.70965E+09
   303 5.45747E+00 2.81125E+09
   304 5.45747E+00 2.81125E+09
   308 5.45747E+00 2.81125E+09
   309 5.45747E+00 2.81125E+09
   280 5.26016E+00 2.70965E+09
   281 5.26016E+00 2.70965E+09
   285 5.26016E+00 2.70965E+09
   286 5.26016E+00 2.70965E+09
   305 5.45747E+00 2.81125E+09
   306 5.45747E+00 2.81125E+09
   310 5.45747E+00 2.81125E+09
   311 5.45747E+00 2.81125E+09
   281 5.26016E+00 2.70965E+09
   282 5.26016E+00 2.70965E+09
   286 5.26016E+00 2.70965E+09
   287 5.26016E+00 2.70965E+09
   306 5.45747E+00 2.81125E+09
   307 5.45747E+00 2.81125E+09
   311 5.45747E+00 2.81125E+09
   312 5.45747E+00 2.81125E+09
   282 5.26016E+00 2.70965E+09
   283 5.26016E+00 2.70965E+09
   287 5.26016E+00 2.70965E+09
   288 5.26016E+00 2.70965E+09
   307 5.45747E+00 2.81125E+09
   308 5.45747E+00 2.81125E+09
   312 5.45747E+00 2.81125E+09
   313 5.45747E+00 2.81125E+09
   283 5.26016E+00 2.70965E+09
   284 5.26016E+00 2.70965E+09
   288 5.26016E+00 2.70965E+09
   289 5.26016E+00 2.70965E+09
   308 5.45747E+00 2.81125E+09
